timestamp,x,y,z,qx,qy,qz,qw
1644823132.492110,49.223287,107.421446,7.655898,0.002864,-0.010755,-0.353287,0.935449
1644823132.591220,49.224294,107.421101,7.657107,0.010000,-0.008798,-0.352527,0.935707
1644823132.690848,49.225045,107.420176,7.657025,0.003204,-0.012393,-0.350554,0.936455
1644823132.792130,49.226241,107.419387,7.657815,0.006057,-0.011257,-0.355325,0.934656
1644823132.891301,49.226205,107.418347,7.657692,0.007187,-0.012529,-0.352870,0.935561
1644823132.991867,49.226031,107.417526,7.657454,0.009802,-0.014942,-0.353672,0.935199
1644823133.091978,49.225896,107.416694,7.656987,0.001863,-0.014109,-0.352812,0.935586
1644823133.190831,49.226281,107.415896,7.657709,0.005856,-0.009891,-0.354394,0.935026
1644823133.292253,49.226311,107.415056,7.657488,0.004890,-0.010862,-0.350856,0.936354
1644823133.392057,49.226632,107.414617,7.657677,0.007480,-0.008191,-0.349913,0.936717
1644823133.491698,49.226619,107.414880,7.657081,0.006874,-0.011765,-0.353012,0.935519
1644823133.591447,49.225660,107.414452,7.657135,0.008384,-0.011415,-0.350759,0.936359
1644823133.691158,49.224768,107.414401,7.657618,0.008392,-0.008313,-0.350925,0.936329
1644823133.792081,49.224167,107.414725,7.657506,0.005250,-0.008056,-0.352182,0.935882
1644823133.892319,49.224214,107.415337,7.657783,0.010476,-0.010023,-0.354582,0.934913
1644823133.992789,49.224487,107.415670,7.658134,0.006235,-0.008978,-0.353307,0.935444
1644823134.091522,49.224916,107.415413,7.658368,0.006758,-0.011838,-0.352885,0.935567
1644823134.191483,49.226252,107.414758,7.658504,0.005163,-0.008572,-0.352925,0.935598
1644823134.291680,49.227067,107.414140,7.657060,0.003900,-0.013324,-0.352635,0.935658
1644823134.391618,49.227362,107.413232,7.656104,0.006838,-0.010149,-0.350917,0.936327
1644823134.492697,49.228192,107.411993,7.654893,0.008252,-0.008865,-0.353181,0.935477
1644823134.593828,49.228382,107.410399,7.653769,0.005972,-0.012313,-0.351940,0.935922
1644823134.691307,49.229279,107.409798,7.654103,0.005112,-0.010101,-0.352306,0.935817
1644823134.791928,49.229784,107.410111,7.654394,0.004460,-0.009508,-0.353328,0.935441
1644823134.891685,49.228908,107.410821,7.654561,0.006237,-0.010883,-0.352878,0.935585
1644823134.991902,49.227885,107.412008,7.655058,0.010253,-0.012785,-0.353555,0.935270
1644823135.092088,49.226965,107.413590,7.655471,0.006187,-0.011997,-0.353635,0.935286
1644823135.193255,49.225666,107.414688,7.656478,0.009439,-0.010018,-0.352615,0.935667
1644823135.292296,49.225158,107.415697,7.656993,0.011143,-0.009163,-0.351585,0.936045
1644823135.393710,49.226236,107.416825,7.656974,0.006681,-0.007974,-0.353012,0.935561
1644823135.494469,49.227475,107.417308,7.656989,0.006131,-0.010450,-0.352746,0.935641
1644823135.591302,49.229008,107.418065,7.656656,0.001614,-0.014858,-0.352937,0.935528
1644823135.691117,49.229608,107.418828,7.657499,0.003056,-0.009978,-0.350975,0.936327
1644823135.791626,49.228762,107.419135,7.657543,0.007382,-0.013191,-0.352029,0.935867
1644823135.893305,49.227352,107.419214,7.658283,0.008149,-0.010738,-0.352940,0.935549
1644823135.991651,49.224688,107.417999,7.657978,0.004274,-0.014766,-0.351604,0.936023
1644823136.094378,49.221919,107.418264,7.658606,0.002157,-0.013125,-0.354069,0.935125
1644823136.194757,49.221711,107.417674,7.663679,0.002105,-0.015173,-0.354338,0.934992
1644823136.291459,49.241349,107.393295,7.670745,0.006127,-0.018512,-0.350336,0.936421
1644823136.390978,49.283517,107.363876,7.676916,0.002352,-0.020784,-0.351105,0.936103
1644823136.493412,49.358589,107.314727,7.677719,-0.000067,-0.021671,-0.350253,0.936404
1644823136.594474,49.440545,107.249402,7.679077,-0.000266,-0.029762,-0.344084,0.938467
1644823136.693768,49.548438,107.163714,7.680823,0.006199,-0.027089,-0.337300,0.940987
1644823136.794551,49.690345,107.079490,7.681953,0.007934,-0.028297,-0.330979,0.943181
1644823136.891626,49.845305,106.994711,7.684056,0.000064,-0.026197,-0.321969,0.946388
1644823136.993538,50.015974,106.895363,7.687270,0.000298,-0.029474,-0.310597,0.950084
1644823137.089611,50.200735,106.802079,7.690296,0.005053,-0.030158,-0.295475,0.954861
1644823137.189559,50.414498,106.722640,7.695684,0.001218,-0.026224,-0.280107,0.959610
1644823137.290718,50.640610,106.629044,7.699641,0.003007,-0.026241,-0.265007,0.963885
1644823137.393935,50.882758,106.527373,7.704049,0.009699,-0.029916,-0.243651,0.969353
1644823137.494033,51.147423,106.445431,7.703363,0.011934,-0.030078,-0.219798,0.975009
1644823137.590101,51.431198,106.381081,7.699168,0.019821,-0.021259,-0.193372,0.980695
1644823137.690652,51.731245,106.334118,7.701441,0.025643,-0.021211,-0.163243,0.986024
1644823137.791217,52.057498,106.317016,7.704655,0.021914,-0.015569,-0.134111,0.990602
1644823137.892176,52.373170,106.315729,7.713243,0.021115,-0.019015,-0.101152,0.994465
1644823137.990391,52.689227,106.319696,7.717583,0.029474,-0.024316,-0.067667,0.996976
1644823138.094706,53.046186,106.373825,7.721807,0.030524,-0.020512,-0.030551,0.998856
1644823138.195711,53.387755,106.461045,7.730045,0.026506,-0.020709,0.005426,0.999419
1644823138.290870,53.716287,106.548600,7.731956,0.029768,-0.017841,0.042342,0.998500
1644823138.390855,54.061599,106.678149,7.737193,0.030787,-0.011084,0.078404,0.996385
1644823138.491386,54.389803,106.846576,7.746563,0.028565,-0.011710,0.115843,0.992788
1644823138.592575,54.708458,107.031100,7.758344,0.027677,-0.013231,0.157131,0.987101
1644823138.697413,55.043465,107.253305,7.763450,0.025734,-0.008145,0.190990,0.981221
1644823138.791832,55.319946,107.473472,7.768912,0.026100,-0.010215,0.224597,0.974049
1644823138.891912,55.609260,107.726326,7.775227,0.022707,-0.009978,0.260284,0.965214
1644823138.994781,55.896330,107.995979,7.779154,0.021879,-0.011268,0.283118,0.958769
1644823139.096255,56.171814,108.277916,7.784304,0.014316,-0.010232,0.308666,0.951008
1644823139.195442,56.438944,108.554198,7.790997,0.013738,-0.010289,0.332685,0.942882
1644823139.296378,56.705483,108.829235,7.800084,0.018209,-0.012862,0.342030,0.939425
1644823139.393788,56.952691,109.117759,7.808766,0.013145,-0.015015,0.361874,0.932013
1644823139.493982,57.207316,109.414550,7.818256,0.011065,-0.017594,0.377536,0.925761
1644823139.596458,57.481409,109.718150,7.827047,0.012395,-0.014026,0.382436,0.923792
1644823139.697322,57.732699,110.024351,7.837685,0.008172,-0.017993,0.396408,0.917862
1644823139.792140,57.978959,110.317409,7.845270,0.007838,-0.016603,0.400168,0.916258
1644823139.893920,58.247202,110.622611,7.855055,0.010463,-0.017281,0.402645,0.915133
1644823139.992824,58.506254,110.937228,7.859511,0.007566,-0.017209,0.412655,0.910694
1644823140.095318,58.786170,111.266050,7.857432,0.004465,-0.014138,0.412475,0.910848
1644823140.197105,59.069618,111.594906,7.853797,0.005778,-0.008974,0.411116,0.911521
1644823140.291466,59.323270,111.905582,7.851756,0.002512,-0.006801,0.415598,0.909519
1644823140.391482,59.602996,112.221365,7.851301,0.003476,-0.005647,0.412902,0.910751
