timestamp,x,y,z,qx,qy,qz,qw
1644760115.958606,244.099048,-99.637531,6.034666,0.095019,-0.080056,-0.273632,0.953776
1644760116.060899,244.094823,-99.635848,6.034620,0.097373,-0.080839,-0.272775,0.953718
1644760116.157107,244.089573,-99.634081,6.034286,0.097076,-0.080437,-0.274008,0.953428
1644760116.257267,244.084478,-99.632285,6.033520,0.095468,-0.079844,-0.273571,0.953766
1644760116.359252,244.081007,-99.630609,6.032382,0.096124,-0.080318,-0.273723,0.953617
1644760116.457010,244.079689,-99.629561,6.030986,0.096877,-0.080332,-0.273958,0.953472
1644760116.558621,244.079987,-99.628794,6.029761,0.095028,-0.079292,-0.273979,0.953739
1644760116.656581,244.081381,-99.628822,6.029079,0.096452,-0.080300,-0.273803,0.953562
1644760116.756157,244.083344,-99.629362,6.029030,0.096041,-0.079955,-0.273268,0.953786
1644760116.857192,244.085001,-99.629538,6.029179,0.095894,-0.080039,-0.274123,0.953548
1644760116.958863,244.086218,-99.628686,6.029467,0.093699,-0.079337,-0.274470,0.953726
1644760117.059484,244.086362,-99.627325,6.029159,0.095234,-0.079511,-0.273752,0.953765
1644760117.156158,244.085778,-99.626502,6.028003,0.097709,-0.080360,-0.273552,0.953501
1644760117.258069,244.084720,-99.625753,6.026755,0.094291,-0.079212,-0.273984,0.953817
1644760117.359346,244.083536,-99.625530,6.025912,0.095221,-0.079595,-0.274303,0.953601
1644760117.455977,244.082257,-99.626180,6.025663,0.096597,-0.080023,-0.273506,0.953656
1644760117.556154,244.081476,-99.626860,6.026177,0.096694,-0.079909,-0.273743,0.953588
1644760117.656589,244.081013,-99.626953,6.027192,0.095394,-0.079694,-0.273956,0.953675
1644760117.758960,244.080051,-99.626655,6.028464,0.095637,-0.079802,-0.274233,0.953563
1644760117.855467,244.079245,-99.626212,6.029991,0.097331,-0.080277,-0.273079,0.953683
1644760117.955477,244.078764,-99.625268,6.031927,0.095926,-0.079905,-0.272831,0.953927
1644760118.055645,244.079043,-99.625190,6.032833,0.097370,-0.080770,-0.273623,0.953481
1644760118.156860,244.079868,-99.625531,6.032528,0.095786,-0.079795,-0.273800,0.953673
1644760118.255785,244.081457,-99.626289,6.031806,0.097016,-0.080226,-0.273507,0.953596
1644760118.355575,244.083889,-99.626883,6.031165,0.096997,-0.080262,-0.274057,0.953437
1644760118.455822,244.087061,-99.628017,6.030486,0.095910,-0.080015,-0.273969,0.953593
1644760118.555629,244.089837,-99.629527,6.029527,0.096308,-0.080164,-0.273436,0.953693
1644760118.655446,244.092094,-99.630662,6.028530,0.098078,-0.080721,-0.274236,0.953236
1644760118.755275,244.093199,-99.630804,6.028027,0.095531,-0.079580,-0.273336,0.953849
1644760118.855330,244.093124,-99.629559,6.028070,0.095159,-0.079787,-0.274117,0.953645
1644760118.955050,244.091798,-99.627578,6.028632,0.096036,-0.079634,-0.273665,0.953700
1644760119.055077,244.090882,-99.626425,6.028812,0.096879,-0.080298,-0.273630,0.953569
